Anchor_1,Anchor_2,Anchor_3,Node_1_Ranges,Node_2_Ranges,Node_3_Ranges,Node_4_Ranges,Node_5_Ranges,Node_6_Ranges,Node_7_Ranges,Node_8_Ranges,Node_9_Ranges,Node_10_Ranges,Node_11_Ranges,Node_12_Ranges,Node_13_Ranges,Node_14_Ranges,Node_15_Ranges,Node_16_Ranges,Node_17_Ranges,Node_18_Ranges,Node_19_Ranges,Node_20_Ranges,Node_21_Ranges,Node_22_Ranges,Node_23_Ranges,Node_24_Ranges,Node_25_Ranges,Node_26_Ranges,Node_27_Ranges,Node_28_Ranges,Node_29_Ranges,Node_30_Ranges,Node_31_Ranges,Node_32_Ranges,Node_33_Ranges,Node_34_Ranges,Node_35_Ranges,Node_36_Ranges,Node_37_Ranges,Node_38_Ranges,Node_39_Ranges,Node_40_Ranges,Node_41_Ranges,Node_42_Ranges,Node_43_Ranges,Node_44_Ranges,Node_45_Ranges,Node_46_Ranges,Node_47_Ranges,Node_48_Ranges,Node_49_Ranges,Node_50_Ranges
"(70, 93)","(60, 31)","(50, 24)","(76.94, 26.08, 32.76)","(82.22, 20.40, 19.10)","(75.03, 17.69, 22.80)","(91.27, 33.62, 34.83)","(79.23, 17.46, 17.20)","(83.36, 20.62, 13.93)","(4.47, 66.48, 75.19)","(110.68, 58.83, 46.65)","(79.92, 61.35, 55.07)","(52.09, 16.40, 28.60)","(21.54, 54.92, 61.00)","(33.06, 30.08, 40.25)","(85.48, 29.83, 33.12)","(29.97, 35.13, 42.58)","(53.76, 38.29, 37.22)","(32.65, 61.07, 72.92)","(61.20, 15.03, 26.25)","(96.77, 36.06, 25.08)","(75.66, 43.74, 36.25)","(13.04, 50.22, 59.81)","(66.48, 69.66, 67.36)","(82.68, 34.93, 24.02)","(96.93, 38.21, 26.40)","(88.68, 26.02, 21.02)","(70.83, 9.22, 4.00)","(92.66, 32.20, 21.02)","(47.10, 19.85, 31.83)","(91.22, 40.36, 44.72)","(73.41, 50.92, 44.94)","(57.63, 31.06, 28.84)","(102.40, 50.61, 38.47)","(36.12, 26.93, 37.12)","(83.19, 20.40, 14.32)","(28.79, 40.31, 51.61)","(19.42, 57.25, 68.26)","(64.38, 77.08, 76.03)","(70.41, 25.00, 34.00)","(96.88, 59.30, 49.01)","(18.38, 48.10, 58.59)","(65.76, 39.00, 34.06)","(34.66, 50.25, 62.23)","(91.71, 46.32, 52.20)","(60.14, 39.96, 36.88)","(64.07, 7.28, 17.72)","(25.94, 51.66, 57.08)","(85.00, 22.20, 16.55)","(88.24, 31.40, 19.21)","(38.91, 51.48, 54.12)","(87.69, 51.01, 41.44)","(4.12, 63.29, 71.81)"
"(10, 51)","(24, 90)","(37, 30)","(27.80, 56.57, 6.40)","(83.17, 91.92, 52.24)","(7.81, 45.89, 26.63)","(23.02, 52.24, 11.31)","(85.23, 65.38, 74.25)","(45.04, 85.51, 37.64)","(77.94, 96.57, 43.91)","(58.19, 45.62, 48.83)","(35.44, 76.84, 39.22)","(35.90, 51.48, 15.26)","(67.21, 35.69, 70.52)","(37.05, 47.01, 21.47)","(57.38, 42.54, 50.25)","(79.10, 73.82, 57.70)","(97.94, 74.11, 88.41)","(72.62, 94.37, 38.42)","(51.89, 69.35, 20.02)","(70.71, 63.06, 53.01)","(58.14, 75.29, 25.50)","(59.44, 68.12, 32.02)","(41.11, 17.12, 68.88)","(48.05, 59.08, 22.83)","(43.42, 74.15, 13.00)","(84.77, 68.45, 70.94)","(34.48, 69.07, 13.45)","(69.46, 51.42, 60.61)","(64.44, 34.23, 67.36)","(19.31, 46.17, 16.64)","(44.18, 84.93, 38.60)","(78.77, 55.01, 72.42)","(86.98, 88.81, 59.54)","(38.01, 59.46, 8.06)","(43.14, 17.89, 52.09)","(41.44, 52.48, 20.52)","(89.19, 96.94, 58.31)","(93.15, 77.47, 77.42)","(44.28, 10.30, 68.62)","(66.64, 47.07, 59.91)","(47.00, 87.13, 37.48)","(74.55, 76.84, 48.51)","(61.07, 63.03, 38.47)","(72.06, 68.26, 51.00)","(72.06, 71.61, 48.47)","(73.41, 94.83, 39.20)","(89.84, 97.00, 59.21)","(68.73, 72.92, 42.45)","(71.55, 50.49, 64.64)","(77.62, 84.86, 48.01)","(28.16, 15.56, 54.56)","(77.78, 68.94, 59.36)"
"(41, 96)","(92, 77)","(87, 16)","(47.85, 8.25, 59.08)","(51.00, 7.81, 56.01)","(39.81, 90.67, 111.40)","(53.45, 47.42, 41.73)","(31.78, 64.78, 77.99)","(81.01, 53.37, 11.40)","(65.19, 72.47, 53.16)","(39.05, 24.19, 82.30)","(89.44, 77.37, 31.05)","(75.13, 50.92, 17.69)","(57.49, 28.65, 37.11)","(51.92, 72.01, 67.08)","(60.75, 14.00, 47.27)","(99.36, 68.07, 7.28)","(16.28, 38.48, 82.64)","(22.14, 32.31, 77.16)","(87.13, 76.54, 32.56)","(72.95, 43.42, 19.92)","(33.53, 21.02, 71.39)","(52.35, 37.48, 39.96)","(40.20, 93.86, 120.22)","(103.94, 71.01, 11.66)","(12.65, 41.79, 83.26)","(57.58, 79.16, 70.94)","(93.92, 107.06, 76.53)","(84.17, 60.44, 12.37)","(100.32, 73.82, 13.42)","(55.73, 10.77, 71.57)","(84.12, 98.23, 72.00)","(57.87, 55.90, 42.72)","(74.17, 71.70, 41.44)","(89.89, 67.72, 14.56)","(86.59, 71.59, 25.32)","(26.93, 77.93, 102.53)","(86.59, 97.00, 67.12)","(61.13, 53.15, 36.62)","(62.39, 61.52, 42.95)","(95.08, 93.81, 52.20)","(64.47, 86.77, 75.00)","(64.41, 43.42, 28.02)","(58.24, 50.93, 38.42)","(62.97, 15.13, 46.53)","(46.65, 34.21, 45.65)","(31.06, 50.45, 65.86)","(78.34, 65.37, 27.29)","(88.60, 52.04, 11.40)","(14.04, 42.06, 87.09)","(55.97, 47.38, 38.90)","(55.04, 21.38, 82.49)","(81.02, 81.57, 48.01)"
"(2, 39)","(62, 11)","(82, 66)","(32.20, 67.80, 61.01)","(83.67, 17.46, 62.13)","(74.01, 32.20, 26.68)","(9.00, 58.18, 75.96)","(23.09, 47.63, 62.24)","(11.18, 57.87, 83.63)","(34.00, 53.25, 51.20)","(90.91, 86.58, 32.57)","(57.01, 89.90, 64.47)","(98.88, 79.71, 21.19)","(54.23, 23.77, 41.23)","(64.14, 61.20, 25.71)","(83.86, 28.02, 39.12)","(91.35, 89.36, 36.06)","(44.41, 24.08, 68.88)","(35.51, 41.05, 83.49)","(16.49, 57.27, 87.32)","(88.87, 24.02, 56.14)","(61.00, 100.72, 76.49)","(81.54, 15.52, 59.21)","(69.03, 27.51, 31.02)","(38.21, 34.00, 77.08)","(70.84, 75.33, 33.60)","(89.11, 50.48, 15.26)","(78.92, 24.08, 39.05)","(61.85, 68.07, 34.18)","(83.55, 84.02, 34.13)","(31.83, 63.60, 58.14)","(90.76, 26.02, 56.32)","(48.10, 84.72, 65.52)","(67.27, 34.71, 24.70)","(51.43, 82.73, 60.08)","(82.28, 19.65, 50.01)","(97.72, 33.06, 58.46)","(48.76, 80.06, 59.20)","(42.20, 26.17, 53.76)","(34.21, 33.73, 71.51)","(14.56, 57.72, 86.35)","(96.84, 64.14, 13.00)","(63.25, 83.52, 50.61)","(81.41, 15.62, 65.49)","(73.93, 8.06, 57.27)","(46.96, 80.13, 60.88)","(68.41, 70.26, 30.02)","(48.41, 31.62, 82.01)","(37.05, 89.83, 82.61)","(95.38, 78.45, 20.22)","(66.10, 8.54, 49.98)","(56.61, 45.40, 27.86)","(41.15, 42.95, 89.11)"
"(29, 14)","(12, 43)","(13, 97)","(62.43, 68.36, 81.84)","(16.28, 18.03, 71.18)","(90.14, 57.87, 11.40)","(69.26, 83.38, 102.80)","(65.01, 86.65, 115.26)","(48.75, 15.52, 39.32)","(74.09, 59.46, 45.22)","(77.13, 57.80, 34.93)","(54.45, 74.33, 103.32)","(80.16, 81.32, 83.01)","(5.00, 32.02, 81.25)","(76.94, 85.29, 96.25)","(22.83, 41.15, 80.50)","(66.12, 89.32, 119.55)","(49.03, 75.80, 112.89)","(86.84, 90.47, 93.05)","(20.40, 15.81, 64.13)","(60.03, 36.36, 29.21)","(7.28, 28.79, 81.50)","(79.20, 73.36, 67.05)","(82.76, 69.43, 51.62)","(16.55, 22.09, 76.01)","(50.29, 37.22, 46.75)","(92.36, 83.23, 67.27)","(78.43, 45.89, 13.45)","(13.42, 23.54, 77.10)","(13.93, 43.68, 96.63)","(65.00, 77.10, 95.60)","(84.12, 51.79, 10.44)","(38.28, 49.65, 78.41)","(64.76, 46.69, 36.89)","(14.04, 30.15, 84.02)","(100.70, 90.43, 70.03)","(69.29, 82.15, 100.21)","(72.90, 82.10, 95.19)","(40.05, 18.60, 45.22)","(51.88, 18.38, 37.85)","(26.68, 36.14, 89.56)","(64.41, 54.71, 52.84)","(38.91, 34.53, 58.25)","(46.24, 61.19, 88.53)","(57.38, 70.35, 92.10)","(21.63, 38.91, 78.72)","(103.17, 93.41, 73.06)","(32.02, 12.04, 63.64)","(11.05, 24.08, 73.55)","(27.20, 25.18, 61.85)","(27.29, 26.93, 79.76)","(25.06, 42.54, 80.53)","(49.82, 21.54, 34.71)"
"(17, 29)","(7, 90)","(44, 61)","(56.08, 73.78, 27.31)","(68.88, 92.65, 46.07)","(31.06, 75.17, 34.23)","(54.33, 92.66, 46.62)","(43.42, 95.02, 54.13)","(58.86, 3.00, 45.22)","(61.40, 81.84, 35.34)","(36.12, 25.96, 30.27)","(21.93, 45.28, 44.94)","(28.23, 89.50, 60.17)","(18.87, 79.56, 50.92)","(14.04, 62.13, 52.63)","(60.42, 23.09, 30.41)","(73.55, 108.58, 61.62)","(66.48, 34.01, 30.15)","(25.50, 52.70, 17.00)","(26.31, 88.12, 62.39)","(79.16, 46.10, 39.81)","(86.13, 125.32, 78.49)","(93.30, 90.93, 55.36)","(45.01, 82.88, 37.59)","(25.96, 36.12, 34.71)","(17.80, 72.11, 59.41)","(33.62, 37.80, 14.04)","(39.29, 30.48, 18.03)","(12.17, 49.65, 35.23)","(28.02, 71.02, 31.02)","(73.25, 49.01, 32.31)","(33.24, 28.64, 31.02)","(84.40, 60.41, 42.72)","(72.45, 80.41, 38.00)","(82.49, 83.20, 45.12)","(38.01, 24.70, 28.64)","(75.71, 95.29, 49.65)","(22.56, 41.79, 24.17)","(63.95, 39.20, 25.08)","(71.31, 29.12, 38.08)","(49.19, 99.02, 56.61)","(30.53, 43.60, 12.53)","(85.91, 65.19, 44.05)","(77.47, 114.77, 67.90)","(39.92, 65.76, 19.72)","(31.30, 40.80, 13.60)","(43.19, 48.60, 2.00)","(82.33, 63.03, 40.46)","(75.61, 118.87, 72.80)","(62.17, 2.00, 48.60)","(9.49, 52.47, 37.80)","(66.03, 96.21, 49.20)","(69.35, 62.59, 28.30)"
"(51, 33)","(3, 59)","(4, 98)","(42.45, 60.08, 97.67)","(56.94, 111.51, 134.36)","(64.35, 20.22, 19.10)","(39.12, 64.88, 101.39)","(13.42, 41.18, 68.60)","(48.83, 54.59, 93.26)","(18.60, 49.58, 82.46)","(36.72, 91.30, 114.59)","(29.21, 50.61, 86.40)","(8.60, 63.13, 88.41)","(58.55, 64.50, 55.44)","(50.00, 53.67, 49.34)","(53.91, 19.85, 26.83)","(18.11, 38.42, 69.35)","(47.76, 42.11, 81.02)","(12.08, 48.27, 78.71)","(37.95, 92.20, 113.22)","(30.89, 85.48, 108.98)","(51.00, 93.02, 100.72)","(45.34, 14.56, 37.34)","(26.25, 29.21, 61.10)","(50.16, 57.27, 53.16)","(56.36, 77.79, 74.53)","(52.92, 6.08, 45.04)","(67.21, 23.09, 16.03)","(30.36, 84.58, 106.08)","(62.13, 63.25, 51.09)","(65.30, 24.74, 15.81)","(25.94, 36.12, 54.67)","(19.10, 73.25, 99.02)","(22.14, 42.64, 76.55)","(45.28, 61.40, 99.30)","(14.04, 67.62, 89.87)","(56.32, 61.77, 53.76)","(39.60, 57.58, 94.92)","(53.08, 85.00, 86.98)","(18.68, 61.52, 93.02)","(39.20, 61.85, 98.72)","(35.51, 88.96, 108.47)","(35.85, 79.40, 91.07)","(60.61, 24.60, 19.72)","(56.86, 95.19, 99.62)","(46.10, 16.28, 55.04)","(30.89, 82.33, 110.94)","(25.18, 45.01, 59.46)","(43.93, 42.54, 43.91)","(36.88, 85.91, 100.69)","(47.17, 22.02, 61.00)","(42.45, 37.66, 76.24)","(29.55, 43.42, 79.56)"
"(64, 16)","(29, 16)","(14, 34)","(75.33, 80.06, 71.40)","(15.81, 42.72, 64.14)","(19.92, 17.09, 39.20)","(51.87, 22.02, 1.41)","(13.93, 32.70, 54.64)","(73.76, 89.81, 87.80)","(85.33, 97.75, 92.63)","(44.94, 70.18, 76.66)","(18.87, 47.76, 68.96)","(18.38, 49.73, 63.20)","(64.20, 75.47, 71.70)","(26.40, 21.26, 44.69)","(38.21, 54.45, 57.58)","(15.03, 20.02, 38.91)","(40.61, 58.00, 61.10)","(47.04, 12.17, 16.28)","(8.94, 39.81, 59.93)","(53.15, 40.00, 26.63)","(19.80, 25.24, 36.22)","(59.46, 41.00, 22.80)","(87.85, 81.01, 65.00)","(72.72, 62.07, 45.61)","(75.00, 73.35, 61.29)","(59.44, 75.29, 74.63)","(17.03, 52.01, 69.64)","(94.02, 77.49, 56.57)","(69.35, 40.31, 17.03)","(62.68, 87.20, 91.55)","(63.15, 66.13, 58.14)","(85.38, 102.00, 99.49)","(29.15, 47.80, 54.13)","(26.00, 61.00, 78.10)","(54.00, 64.35, 61.61)","(85.88, 76.16, 58.86)","(5.39, 33.38, 49.73)","(67.01, 53.34, 36.14)","(57.45, 81.40, 85.80)","(12.08, 24.52, 41.11)","(85.49, 78.00, 61.85)","(47.43, 18.03, 33.38)","(48.60, 39.46, 29.70)","(46.04, 39.05, 31.24)","(61.19, 27.73, 11.66)","(31.06, 4.47, 24.84)","(64.01, 29.02, 23.60)","(84.48, 87.93, 77.70)","(100.60, 84.12, 62.97)","(9.06, 37.11, 51.79)","(67.42, 86.31, 86.61)","(46.04, 11.18, 20.40)"
"(62, 64)","(6, 19)","(100, 83)","(57.71, 72.17, 89.36)","(40.31, 51.24, 73.01)","(46.17, 60.21, 82.15)","(19.24, 89.83, 29.07)","(29.41, 100.45, 21.59)","(55.36, 29.15, 97.50)","(48.76, 33.06, 86.98)","(24.19, 48.10, 66.65)","(53.08, 19.24, 94.63)","(74.52, 3.16, 116.25)","(77.10, 11.40, 117.92)","(26.31, 91.68, 25.94)","(52.80, 67.48, 86.05)","(84.15, 14.56, 125.25)","(55.46, 21.84, 97.94)","(32.80, 104.64, 12.04)","(23.85, 95.60, 18.97)","(13.34, 61.91, 52.01)","(36.67, 65.19, 71.06)","(17.69, 75.15, 41.23)","(45.04, 48.27, 84.72)","(55.90, 31.40, 93.43)","(34.66, 106.30, 15.23)","(36.06, 107.80, 8.06)","(45.65, 68.88, 78.06)","(25.81, 77.70, 53.04)","(8.54, 79.31, 36.69)","(62.36, 74.53, 81.74)","(37.44, 34.66, 79.76)","(69.64, 8.54, 112.00)","(17.80, 89.64, 25.30)","(42.20, 46.17, 76.84)","(47.01, 79.10, 61.85)","(53.76, 93.19, 58.01)","(66.21, 73.11, 98.41)","(42.95, 55.79, 80.62)","(36.14, 105.82, 10.44)","(15.00, 84.06, 29.83)","(45.65, 34.37, 84.15)","(63.01, 57.87, 90.80)","(22.00, 60.54, 55.90)","(77.16, 12.65, 117.80)","(60.08, 38.90, 95.00)","(46.32, 31.58, 85.63)","(41.05, 54.15, 72.11)","(44.60, 86.83, 52.61)","(53.85, 42.58, 88.01)","(24.19, 57.01, 59.41)","(22.67, 94.49, 21.38)","(33.29, 105.00, 10.05)"
"(35, 8)","(72, 23)","(36, 13)","(98.43, 105.42, 94.15)","(74.46, 54.74, 69.46)","(99.76, 73.68, 94.89)","(59.21, 29.73, 58.86)","(72.99, 62.24, 67.90)","(42.06, 34.66, 37.00)","(26.17, 64.13, 27.07)","(10.82, 50.57, 14.87)","(7.62, 40.79, 4.47)","(91.71, 68.03, 86.76)","(69.92, 77.16, 65.46)","(47.04, 16.40, 46.10)","(46.32, 10.20, 42.94)","(40.05, 43.01, 35.01)","(52.33, 68.00, 48.37)","(96.26, 66.48, 91.61)","(31.32, 31.76, 26.25)","(56.01, 55.90, 51.04)","(69.43, 73.55, 64.76)","(37.85, 36.40, 32.76)","(50.96, 12.04, 48.84)","(95.02, 62.24, 90.61)","(10.05, 36.35, 5.00)","(32.76, 69.46, 33.06)","(46.23, 69.26, 43.14)","(5.00, 44.60, 7.81)","(63.00, 30.02, 62.20)","(89.01, 83.19, 84.02)","(77.83, 86.37, 73.54)","(56.08, 53.26, 51.04)","(64.13, 26.17, 62.39)","(54.13, 16.49, 52.35)","(86.31, 73.38, 81.22)","(17.03, 55.79, 18.44)","(60.83, 29.43, 56.59)","(35.69, 36.06, 30.59)","(57.70, 38.90, 52.77)","(82.28, 62.51, 77.25)","(92.36, 63.56, 87.66)","(59.77, 69.20, 55.36)","(20.10, 35.36, 15.03)","(45.22, 36.24, 40.16)","(71.31, 81.84, 67.12)","(48.26, 26.93, 43.60)","(82.38, 69.57, 77.28)","(72.20, 33.30, 68.88)","(39.81, 7.28, 38.12)","(65.92, 69.31, 61.19)","(42.72, 25.24, 38.01)","(62.13, 57.43, 57.08)"
"(56, 71)","(82, 35)","(75, 85)","(43.68, 72.11, 66.31)","(39.20, 50.25, 62.24)","(20.25, 64.14, 26.48)","(75.77, 64.66, 96.75)","(62.43, 63.79, 85.15)","(49.00, 29.07, 65.80)","(45.65, 48.17, 67.80)","(29.97, 64.33, 14.32)","(18.03, 61.91, 25.18)","(21.10, 58.01, 43.08)","(55.23, 63.20, 78.49)","(29.53, 63.15, 13.00)","(18.03, 31.32, 20.10)","(26.57, 36.69, 48.01)","(24.41, 20.00, 34.37)","(23.85, 68.24, 32.56)","(61.55, 71.25, 85.04)","(51.00, 72.01, 74.43)","(52.00, 75.71, 75.13)","(38.33, 28.23, 30.00)","(43.46, 9.85, 54.04)","(65.80, 24.02, 74.43)","(76.97, 34.53, 85.00)","(58.18, 100.12, 71.39)","(51.89, 11.70, 61.07)","(55.32, 83.52, 77.49)","(53.08, 10.44, 55.66)","(33.02, 55.66, 56.61)","(26.08, 29.73, 45.18)","(72.57, 36.69, 85.09)","(43.10, 42.54, 26.40)","(35.36, 19.65, 33.24)","(33.24, 45.40, 13.93)","(68.03, 26.08, 76.53)","(44.64, 84.05, 62.03)","(39.56, 40.01, 60.75)","(18.25, 29.21, 35.78)","(33.24, 38.33, 54.64)","(80.78, 75.58, 103.00)","(32.20, 59.24, 55.57)","(30.41, 41.19, 14.21)","(28.60, 59.68, 9.22)","(20.02, 59.03, 41.11)","(69.43, 51.22, 88.39)","(47.93, 89.02, 63.20)","(43.46, 68.68, 66.65)","(57.01, 12.73, 61.13)","(49.98, 90.21, 66.07)","(20.02, 31.38, 39.45)","(11.40, 33.02, 25.94)"
"(47, 23)","(33, 70)","(72, 82)","(29.15, 24.76, 37.20)","(42.06, 80.72, 73.55)","(23.60, 28.00, 55.87)","(46.10, 71.69, 102.83)","(43.97, 66.21, 98.35)","(65.86, 48.05, 8.25)","(59.67, 24.02, 64.33)","(45.22, 4.00, 42.15)","(30.59, 26.25, 34.67)","(51.43, 9.06, 49.73)","(50.57, 7.07, 47.80)","(34.00, 51.08, 83.44)","(64.82, 26.31, 65.49)","(71.42, 64.12, 26.25)","(75.50, 27.02, 42.72)","(79.20, 64.03, 23.35)","(20.25, 68.71, 77.28)","(66.61, 19.65, 34.71)","(43.10, 17.46, 27.20)","(42.49, 70.23, 100.26)","(36.12, 70.71, 62.97)","(26.08, 69.00, 89.90)","(60.96, 32.76, 73.50)","(37.64, 42.05, 30.02)","(58.82, 20.02, 60.02)","(19.92, 41.30, 68.88)","(5.39, 45.89, 64.41)","(78.19, 29.53, 54.82)","(40.72, 81.84, 76.94)","(47.01, 58.25, 93.72)","(23.26, 26.31, 51.66)","(40.80, 43.01, 79.40)","(41.30, 69.20, 56.32)","(53.46, 9.22, 32.56)","(86.28, 41.23, 72.37)","(35.85, 79.06, 77.23)","(87.46, 41.77, 71.81)","(83.01, 34.48, 58.82)","(55.90, 24.74, 65.52)","(62.68, 67.08, 36.12)","(39.41, 17.49, 55.07)","(21.47, 57.22, 81.84)","(27.59, 74.69, 79.23)","(60.37, 41.59, 5.39)","(39.20, 41.23, 28.02)","(47.43, 2.24, 42.38)","(44.38, 69.46, 100.66)","(21.95, 36.35, 65.12)","(49.24, 64.88, 43.83)","(16.55, 62.39, 80.62)"
"(29, 42)","(34, 6)","(13, 17)","(37.12, 45.97, 57.38)","(60.54, 93.74, 89.90)","(78.24, 101.79, 106.79)","(65.51, 77.34, 89.00)","(31.62, 63.35, 61.29)","(19.10, 17.26, 18.97)","(45.45, 74.95, 75.00)","(70.26, 87.78, 96.52)","(32.80, 34.89, 11.18)","(55.03, 71.59, 80.45)","(49.82, 34.37, 55.33)","(52.92, 88.60, 74.11)","(37.12, 73.03, 64.85)","(36.69, 16.03, 11.18)","(31.78, 67.45, 54.08)","(33.24, 61.98, 62.48)","(59.62, 92.76, 89.00)","(65.76, 92.13, 94.92)","(37.54, 67.05, 67.01)","(4.47, 38.01, 33.60)","(70.03, 75.29, 90.14)","(48.37, 29.61, 18.79)","(76.32, 60.13, 82.38)","(15.81, 28.16, 33.12)","(29.55, 65.25, 52.15)","(50.80, 87.13, 75.33)","(30.41, 21.26, 37.12)","(36.24, 12.65, 33.73)","(27.20, 58.59, 41.44)","(80.78, 100.90, 108.23)","(37.70, 73.50, 60.03)","(58.69, 91.78, 88.10)","(10.82, 46.32, 35.44)","(70.86, 69.64, 87.13)","(55.97, 91.92, 78.03)","(18.68, 54.00, 47.85)","(37.34, 1.00, 24.19)","(5.39, 35.44, 25.50)","(58.82, 88.87, 88.48)","(69.46, 86.31, 95.41)","(28.60, 55.97, 57.31)","(61.13, 68.82, 82.28)","(51.04, 81.61, 80.71)","(24.84, 58.87, 44.00)","(45.31, 13.42, 37.12)","(36.14, 54.08, 61.29)","(47.01, 83.10, 73.98)","(34.21, 35.34, 11.70)","(8.60, 41.05, 37.80)","(39.56, 57.43, 64.90)"
"(42, 72)","(31, 87)","(91, 48)","(38.08, 54.92, 16.64)","(59.55, 78.10, 23.26)","(41.59, 42.80, 86.15)","(57.80, 65.55, 86.83)","(69.12, 87.66, 37.34)","(18.87, 36.80, 35.85)","(44.29, 61.61, 10.44)","(55.57, 74.09, 31.89)","(41.18, 47.27, 45.88)","(58.14, 76.69, 22.83)","(31.14, 23.32, 84.43)","(47.13, 60.07, 66.41)","(55.23, 61.74, 87.66)","(26.17, 38.90, 35.47)","(31.62, 49.66, 39.46)","(28.23, 15.52, 82.76)","(36.00, 29.15, 88.32)","(66.07, 82.20, 62.29)","(11.05, 27.20, 44.42)","(45.18, 57.07, 28.28)","(32.25, 43.29, 65.12)","(30.41, 12.21, 83.76)","(54.67, 72.86, 13.04)","(51.66, 70.18, 19.80)","(21.19, 39.36, 42.19)","(62.03, 69.35, 46.87)","(60.42, 77.67, 6.40)","(41.44, 59.51, 38.08)","(70.00, 77.47, 96.46)","(55.36, 73.41, 41.04)","(19.21, 1.00, 72.40)","(24.08, 29.02, 50.61)","(35.85, 22.02, 90.38)","(27.02, 22.63, 79.40)","(5.66, 13.04, 59.94)","(59.82, 78.41, 25.94)","(16.40, 5.39, 70.71)","(62.65, 79.40, 8.25)","(34.71, 37.85, 52.33)","(43.97, 57.04, 64.56)","(65.22, 73.16, 91.71)","(24.33, 39.62, 53.00)","(43.42, 49.37, 46.32)","(34.13, 50.96, 47.07)","(24.52, 18.36, 65.12)","(32.70, 51.00, 36.50)","(29.02, 22.80, 81.91)","(61.85, 79.38, 49.52)","(42.54, 26.68, 97.06)","(56.32, 69.18, 71.59)"
"(43, 82)","(10, 29)","(92, 12)","(10.44, 52.43, 79.40)","(72.56, 30.61, 58.03)","(52.24, 102.90, 75.06)","(23.02, 52.95, 99.72)","(70.60, 76.06, 15.23)","(55.11, 108.00, 81.15)","(80.96, 20.10, 84.05)","(80.62, 74.95, 9.00)","(13.04, 51.22, 75.82)","(19.42, 81.84, 94.02)","(30.02, 68.36, 113.36)","(33.94, 63.95, 52.35)","(10.00, 59.55, 75.45)","(79.12, 25.50, 71.25)","(80.96, 70.88, 14.32)","(61.03, 35.90, 47.85)","(53.14, 90.08, 52.01)","(33.38, 34.41, 65.46)","(45.88, 102.65, 86.21)","(36.12, 34.48, 62.13)","(12.65, 74.79, 93.54)","(20.12, 46.49, 90.61)","(13.60, 48.88, 82.04)","(56.09, 108.81, 81.22)","(37.48, 65.80, 49.19)","(17.20, 78.60, 87.32)","(62.97, 44.91, 38.83)","(66.29, 47.54, 36.35)","(63.79, 48.84, 34.93)","(39.22, 66.12, 119.52)","(22.85, 63.15, 105.55)","(39.32, 48.37, 109.40)","(43.42, 96.21, 76.24)","(73.74, 17.46, 75.01)","(53.76, 24.00, 60.44)","(57.22, 107.07, 75.43)","(50.01, 97.94, 69.01)","(60.54, 87.80, 39.12)","(29.41, 33.12, 80.45)","(53.45, 49.04, 38.08)","(83.22, 79.83, 4.00)","(39.82, 23.41, 83.65)","(55.07, 60.21, 31.11)","(55.36, 17.00, 67.19)","(31.06, 91.55, 89.99)","(29.07, 66.37, 111.87)","(42.06, 98.41, 83.49)","(56.04, 81.74, 38.12)","(92.91, 88.32, 7.62)","(61.03, 14.87, 69.05)"
"(10, 26)","(69, 6)","(99, 48)","(13.04, 49.73, 83.22)","(36.72, 66.22, 71.70)","(79.32, 87.30, 62.94)","(2.83, 61.10, 89.27)","(45.40, 29.53, 46.82)","(49.04, 20.59, 46.65)","(59.81, 3.16, 54.20)","(84.72, 94.37, 68.68)","(104.48, 88.77, 44.72)","(90.79, 89.00, 55.76)","(47.01, 64.41, 61.85)","(64.03, 18.68, 34.66)","(69.84, 84.77, 67.42)","(73.16, 14.76, 38.91)","(75.72, 62.13, 32.80)","(56.75, 87.46, 81.94)","(68.00, 105.95, 100.18)","(84.17, 81.01, 49.82)","(64.33, 8.06, 43.60)","(68.88, 64.28, 42.19)","(23.09, 57.08, 97.95)","(48.88, 48.10, 47.10)","(85.02, 34.06, 20.40)","(62.59, 34.06, 29.12)","(63.51, 76.84, 62.27)","(30.02, 76.58, 88.36)","(67.03, 23.41, 29.73)","(83.02, 30.00, 24.74)","(94.05, 86.37, 49.19)","(48.01, 90.69, 93.68)","(49.65, 12.65, 56.64)","(107.07, 86.03, 39.01)","(33.54, 36.77, 58.24)","(63.01, 101.26, 97.08)","(69.46, 111.40, 107.79)","(48.26, 50.70, 49.25)","(63.13, 104.20, 101.64)","(61.40, 72.42, 58.59)","(67.94, 66.61, 45.79)","(46.52, 73.25, 71.84)","(49.01, 21.47, 46.14)","(45.18, 27.78, 47.54)","(107.56, 95.13, 51.97)","(97.62, 91.35, 53.71)","(78.87, 81.50, 55.15)","(46.82, 77.10, 76.24)","(97.95, 84.53, 43.32)","(81.88, 38.83, 12.81)","(82.08, 53.76, 15.81)","(58.60, 80.53, 71.11)"
